Trading Strategy,Bitcoin train,Bitcoin test,Ethereum
Evolve strategy 80,115075.89542320075,1284.9681909054907,7294.104375325731
Evolve strategy 81,112814.61600945177,939.6551707441682,3199.692968241939
Evolve strategy 82,107738.1482152978,1000.0,1000.0
Evolve strategy 83,111780.48835004914,596.5411493537754,1086.6255565830797
Evolve strategy 84,106837.4294405427,1359.6479086557194,3833.8702629032305
Evolve strategy 85,105904.09350645925,1000.0,5961.389320503842
Evolve strategy 86,108658.5003132904,1320.564213069445,11320.915349707548
Evolve strategy 87,112099.32471708096,829.4757042766048,3685.764173502698
Evolve strategy 88,104070.25853781059,1000.0,5338.36069887633
Evolve strategy 89,122290.09779416448,1145.887642721147,1509.2329738529734
Evolve strategy 90,107584.97576060244,1125.3828758668692,2028.7875227889865
Evolve strategy 91,101711.48878622391,1189.912707379952,4093.5970627558863
Evolve strategy 92,100670.45124748356,1000.0,1000.0
Evolve strategy 93,95103.08444476857,733.9411161278292,2332.5344444985167
Evolve strategy 94,91346.1882714985,1327.9184501137174,4658.162709412568
Evolve strategy 95,92290.30132786949,968.4560340735,2004.4090369725322
